"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 35-44, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,,,,
,,,,,,,,,,,,,,,,,,,
STATE,"10,758",25.2,"8,333",25.4,"1,785",22.8,,LAKE,4,14.3,2,10.1,2,*,,,,,
ANDERSON,77,17.3,71,17.7,2,9.9,,LAUDERDALE,14,9.0,7,7.2,7,13.0,,,,,
BEDFORD,69,22.7,58,21.3,5,23.8,,LAWRENCE,50,19.8,50,20.5,-,-,,,,,
BENTON,15,17.1,..,*,..,*,,LEWIS,12,17.2,12,18.0,-,-,,,,,
BLEDSOE,5,6.8,5,7.0,-,-,,LINCOLN,34,17.8,31,18.1,2,13.3,,,,,
BLOUNT,158,20.4,148,20.4,2,9.2,,LOUDON,54,20.2,54,21.3,-,-,,,,,
BRADLEY,128,19.4,116,19.1,3,9.7,,MCMINN,48,15.1,45,15.2,2,17.9,,,,,
CAMPBELL,31,13.4,30,13.2,-,-,,MCNAIRY,23,15.1,21,14.9,2,*,,,,,
CANNON,13,16.4,11,14.5,-,-,,MACON,28,19.6,27,19.4,-,-,,,,,
CARROLL,23,15.4,18,13.6,5,37.0,,MADISON,120,20.6,67,21.1,50,20.3,,,,,
CARTER,42,13.2,39,12.7,-,-,,MARION,30,18.2,25,15.9,3,*,,,,,
CHEATHAM,52,19.8,..,*,..,*,,MARSHALL,37,17.1,29,14.7,5,37.6,,,,,
CHESTER,22,20.3,20,21.0,2,19.0,,MAURY,155,24.3,139,26.0,12,15.3,,,,,
CLAIBORNE,33,18.1,33,18.6,-,-,,MEIGS,13,17.9,13,18.7,-,-,,,,,
CLAY,7,19.0,7,19.5,-,-,,MONROE,47,18.6,46,19.0,-,-,,,,,
COCKE,23,11.2,..,*,..,*,,MONTGOMERY,339,24.7,236,24.4,68,23.3,,,,,
COFFEE,74,21.6,67,20.9,-,-,,MOORE,9,24.4,..,*,-,-,,,,,
CROCKETT,17,19.8,17,23.4,-,-,,MORGAN,21,18.8,19,17.5,-,-,,,,,
CUMBERLAND,43,15.5,41,15.2,-,-,,OBION,38,21.4,33,21.7,5,22.6,,,,,
DAVIDSON,"1,873",39.3,"1,330",44.0,388,28.1,,OVERTON,16,12.5,16,12.9,-,-,,,,,
DECATUR,8,12.1,8,12.6,-,-,,PERRY,19,42.1,19,45.7,-,-,,,,,
DEKALB,17,13.8,17,15.4,-,-,,PICKETT,2,7.3,2,7.4,-,-,,,,,
