"NUMBER OF BIRTHS WITH AGE-SPECIFIC FERTILITY RATES PER 1,000 FEMALES AGED 20-24, BY RACE,",,,,,,,,,,,,,,,,,,,
"FOR COUNTIES OF TENNESSEE, RESIDENT DATA, 2018",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,TOTAL,,WHITE,,BLACK,,,,TOTAL,,WHITE,,BLACK,,,,,,
COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,COUNTY,NUMBER,RATE,NUMBER,RATE,NUMBER,RATE,,,,,
,,,,,,,,,,,,,,,,,,,
STATE,"19,527",88.6,"14,052",86.5,"5,092",110.5,,LAKE,16,150.9,..,*,..,*,,,,,
ANDERSON,213,109.0,200,113.5,12,117.6,,LAUDERDALE,107,151.6,71,183.9,34,119.7,,,,,
BEDFORD,234,164.0,204,173.9,21,162.8,,LAWRENCE,181,161.3,..,*,..,*,,,,,
BENTON,55,145.9,..,*,..,*,,LEWIS,44,147.2,..,*,..,*,,,,,
BLEDSOE,39,125.4,39,134.0,-,-,,LINCOLN,111,136.4,105,145.8,5,*,,,,,
BLOUNT,309,84.8,290,85.7,14,122.8,,LOUDON,112,90.5,..,*,..,*,,,,,
BRADLEY,358,99.4,330,103.3,20,83.3,,MCMINN,165,106.2,155,108.6,10,*,,,,,
CAMPBELL,161,155.0,..,*,..,*,,MCNAIRY,90,135.1,..,*,..,*,,,,,
CANNON,54,144.0,..,*,-,-,,MACON,109,147.3,109,152.7,-,-,,,,,
CARROLL,87,97.2,80,107.2,6,54.5,,MADISON,315,88.8,129,69.0,184,118.9,,,,,
CARTER,150,105.8,..,*,..,*,,MARION,99,134.9,..,*,..,*,,,,,
CHEATHAM,113,112.2,..,*,..,*,,MARSHALL,115,134.0,99,129.9,14,*,,,,,
CHESTER,51,68.0,49,73.2,2,*,,MAURY,276,107.5,225,109.3,47,130.2,,,,,
CLAIBORNE,92,93.5,..,*,..,*,,MEIGS,38,127.1,38,130.1,-,-,,,,,
CLAY,23,124.3,23,135.3,-,-,,MONROE,180,149.1,..,*,..,*,,,,,
COCKE,134,144.4,..,*,..,*,,MONTGOMERY,"1,035",122.5,731,130.0,277,131.2,,,,,
COFFEE,228,150.4,216,157.9,11,*,,MOORE,16,97.0,16,103.2,-,-,,,,,
CROCKETT,42,103.2,..,*,..,*,,MORGAN,77,143.7,77,150.4,-,-,,,,,
CUMBERLAND,168,139.3,..,*,..,*,,OBION,107,128.1,90,125.3,17,*,,,,,
DAVIDSON,"1,719",65.9,849,53.9,746,91.2,,OVERTON,75,122.5,75,125.4,-,-,,,,,
DECATUR,34,120.6,..,*,..,*,,PERRY,25,116.8,25,128.9,-,-,,,,,
DEKALB,70,131.8,70,137.8,-,-,,PICKETT,14,121.7,14,127.3,-,-,,,,,
DICKSON,171,122.3,158,124.7,13,*,,POLK,58,134.6,58,142.5,-,-,,,,,
